1,ijk,1188.595944,4,ijk,795.4940059,8,ijk,821.708154,12,ijk,879.697726,16,ijk,1185.632024
1,ijk,1194.663404,4,ijk,880.5273249,8,ijk,850.8206758,12,ijk,879.7140319,16,ijk,1186.324656
1,ijk,1197.692839,4,ijk,982.800293,8,ijk,1055.966434,12,ijk,905.38269,16,ijk,1191.832118
1,ijk,1200.083897,4,ijk,1077.766706,8,ijk,1119.276348,12,ijk,918.9899621,16,ijk,1253.816764
1,ijk,1208.696728,4,ijk,1083.29763,8,ijk,1154.933648,12,ijk,965.666858,16,ijk,1430.174059
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,ijk,1407.161757,,,,,,,,,,,,
4,ijk,1456.574809,,,,,,,,,,,,
4,ijk,1746.069758,,,,,,,,,,,,
4,ijk,1923.033437,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8,ijk,1471.429241,,,,,,,,,,,,
8,ijk,1997.558517,,,,,,,,,,,,
